Country ,1820 to 1829,1830 to 1839,1840 to 1849,1850 to 1859,1860 to 1869,1870 to 1879,1880 to 1889,1890 to 1899,1900 to 1909,1910 to 1919,1920 to 1929,1930 to 1939,1940 to 1949,1950 to 1959,1960 to 1969,1970 to 1979,1980 to 1989,1990 to 1999,2000 to 2009,2010,2011,2012,2013,,,
Uruguay,,,,,,22,4,144,,,,153,754,"1,026","4,089"," 8,416 "," 7,235 "," 6,062 "," 9,827 "," 1,286 ","1,521"," 1,348 ","1,314",,,
Venezuela,,,,,36,190,248,,,,,"1,360","2,182","9,927","20,758"," 11,007 "," 22,405 "," 35,180 "," 82,087 "," 9,497 ","9,229"," 9,464 ","9,512",,,
Other South America,405,957,"1,062","3,569","1,358",96,78,305,"15,253","39,938","38,398","2,647",7,17,28, 18 , 2 , -   , 2 , 1 ,2, - ,1,,,
Other America,1,6,11,56,80,879,"5,019","1,406",73,,29,25,"25,284","60,140","22,076", 603 , 83 , 37 , 19 , 4 ,-, - ,1,,,
Africa,19,66,67,104,458,441,768,432,"6,326","8,867","6,362","2,120","6,720","13,016","23,780"," 71,405 "," 141,987 "," 346,410 "," 759,734 "," 98,246 ","97,429"," 103,685 ","94,589",,,
Egypt,,,,5,8,29,145,51,,,"1,063",781,"1,613","1,996","5,581"," 23,543 "," 26,744 "," 44,604 "," 81,564 "," 9,822 ","9,096"," 10,172 ","10,719",,,
Ethiopia,,,,,,,,,,,,10,28,302,804," 2,588 "," 12,927 "," 40,097 "," 87,207 "," 13,853 ","13,985"," 15,400 ","13,484",,,
Liberia,1,8,5,7,43,52,21,9,,,,35,37,289,841," 2,391 "," 6,420 "," 13,587 "," 23,316 "," 2,924 ","3,117"," 3,451 ","3,036",,,
Morocco,,4,1,,,15,12,9,,,,110,"1,463","3,293","2,880"," 1,967 "," 3,471 "," 15,768 "," 40,844 "," 4,847 ","4,249"," 3,534 ","3,202",,,
South Africa,,,,,79,48,23,9,,,,312,"1,022","2,278","4,360"," 10,002 "," 15,505 "," 21,964 "," 32,221 "," 2,705 ","2,754"," 2,960 ","2,693",,,
Other Africa,18,54,61,92,328,297,567,354,"6,326","8,867","5,299",872,"2,557","4,858","9,314"," 30,914 "," 76,920 "," 210,390 "," 494,582 "," 64,095 ","64,228"," 68,168 ","61,455",,,
Australia,2,1,2,104,96,"8,933","7,250","3,098","11,191","11,280","8,404","2,260","11,201","8,275","14,986"," 18,708 "," 16,901 "," 24,288 "," 32,728 "," 3,077 ","3,062"," 3,146 ","3,529",,,
NewZealand,,,,2,6,39,21,12,,,935,790,"2,351","1,799","3,775"," 5,018 "," 6,129 "," 8,600 "," 12,495 "," 1,046 ","1,006", 980 ,"1,027",,,
